FIO,Login,Password
Гаврилов Фёдор Артёмович,reneheg-avu90@mail.com,68746111
Васильева Ульяна Дмитриевна,xixixuk-apo95@yahoo.com,97605997
Федоров Артём Львович,xeci_fihaga20@gmail.com,40556463
Куликова Ксения Павловна,baxoyi-digu85@hotmail.com,90555401
Соловьев Никита Максимович,puci-jubeda40@hotmail.com,54102460
Родионова Мария Даниловна,zakaj-amewe30@mail.com,52927373
Абрамова Яна Алиевна,kimone_yuda13@mail.com,57027878
Родионов Захар Сергеевич,zuyico_zedo94@hotmail.com,96644968
Горюнова Лидия Михайловна,zole_boveji3@outlook.com,46522354
Литвинова Полина Николаевна,fasecax-onu18@hotmail.com,74360986
